|-------------------|------------|-------------|-------------|-----------------------------|
|      监控时间       |  CPU使用率  |   内存使用率  |   硬盘使用率  |          网络收发量           |
|                   | (共6核CPU)  |  (总计15G内存) | (总计931G硬盘)|                           |
|-------------------|------------|-------------|-------------|----------------------------|
|2021-06-01 22:10:15|    16.0%   |    60.3%    |    51.9%    |   收:1680170293/发:121677293  |
|-------------------|------------|-------------|-------------|----------------------------|


|-------------------|------------|-------------|-------------|-----------------------------|
|      监控时间       |  CPU使用率  |   内存使用率  |   硬盘使用率  |          网络收发量           |
|                   | (共6核CPU)  |  (总计15G内存) | (总计931G硬盘)|                           |
|-------------------|------------|-------------|-------------|----------------------------|
|2021-06-01 22:10:20|    14.2%   |    60.3%    |    51.9%    |   收:1680170676/发:121677733  |
|-------------------|------------|-------------|-------------|----------------------------|


|-------------------|------------|-------------|-------------|-----------------------------|
|      监控时间       |  CPU使用率  |   内存使用率  |   硬盘使用率  |          网络收发量           |
|                   | (共6核CPU)  |  (总计15G内存) | (总计931G硬盘)|                           |
|-------------------|------------|-------------|-------------|----------------------------|
|2021-06-01 22:10:25|    17.0%   |    60.4%    |    51.9%    |   收:1680171172/发:121678494  |
|-------------------|------------|-------------|-------------|----------------------------|


